Hi.	嗨。
Who is your teacher?	谁是你老师？
Whose shirt is this?	這是誰的襯衫。
Why am I still here?	为什么我还在这里？
Why did you do that?	你為什麼要那樣做呢？
Why didn't she come?	她为什么没来？
Why do you say that?	你為什麼那樣說?
Why don't you do it?	你为什么不做？
Why is the sky blue?	为什么天是蓝的？
Why isn't that good?	那為甚麼不好？
Why worry about Tom?	為什麼要擔心Tom？
You are quite right.	你說得很對。
You broke the rules.	你触犯了规则。
You can count on it.	你可以依靠它。
You can rely on him.	你可以依靠他。
You can shut up now.	你現在可以住口了。
You do have choices.	你有选择。
You guys looked mad.	你们疯了吧
You guys looked mad.	你們那時候看起來在生氣。
You have many books.	您有很多书。
You have many books.	你有许多书。
You have some books.	您有一些书。
You have some books.	你有一些书。
You look pale today.	你今天看上去很苍白。
You look very tired.	你看上去非常累。
You may go anywhere.	您可以随便去哪儿。
You may go anywhere.	你可以随便去哪儿。
You may go home now.	你現在可以回家了。
You may not come in.	你不能進來。
You need a vacation.	你需要個假期。
You need protection.	你需要保護。
You should try this.	你应该试试这个。
You'd better not go.	你最好不要去。
You're irresistible.	你令人难以抗拒。
You're not a doctor.	您不是医生。
You're not too late.	你還不太晚。
You're so beautiful!	你太漂亮了！
You're the prisoner.	你是囚犯。
You're too generous.	你太大方了。
Your father is tall.	你爸爸很高。
Your hair is pretty.	你的头发很漂亮。
Your shoes are here.	你的鞋在这儿。
Yours is over there.	你的在那儿呢。
A permit is required.	需要准许。
Almost everyone came.	几乎每个人都来了。
Are those explosives?	那些是爆炸物嗎？
Are we going to lose?	我们将会输了吗？
Are you Tom's mother?	你是湯姆的母親嗎？
Are you busy at work?	你工作很忙嗎 ?
Are you following me?	你在跟著我嗎？
Are you going or not?	你去還是不去？
Are your hands clean?	你的手乾淨嗎?
Be quiet, all of you.	你們所有的人都安靜。
Be sure to come at 3.	務必在三點鐘來。
Bring me a dry towel.	給我一條乾毛巾。
But you're not there.	但你不在那裡。
Can I ask a question?	我能问个问题吗？
Can he speak English?	他會講英語嗎？
Can we stop fighting?	我们能不打了吗？
Can you ride a horse?	您会骑马吗？
Can you speak French?	你會講法語嗎？
Cats hate to get wet.	猫讨厌被弄湿。
Children need loving.	孩子们需要关爱。
Clothes make the man.	人要衣裝。
Come again next week.	下周再來。
Did I miss the party?	我错过派对了吗？
Did Tom say anything?	Tom有說什麼嗎？
Did Tom talk to Mary?	汤姆跟玛丽说话了吗？
Did he pass the exam?	他通過考試了嗎？
Did he pass the test?	他通過測驗了嗎?
Did somebody hit Tom?	有人打汤姆了吗？
Did something happen?	發生了什麼事嗎？
Did you get up early?	你起床早嗎？
Didn't I tell you so?	我不是告訴過你了嗎？
Do it somewhere else.	到别处去做。
Do what he tells you.	做他告訴你的事。
Do you eat out often?	你常常外食嗎？
Do you get up at six?	你六点起床吗？
Do you have a camera?	你有照相机吗？
Do you have a garage?	你有車庫嗎？
Do you have children?	你有孩子嗎？
Do you know Tom well?	你很了解汤姆吗？
Do you like shopping?	你喜歡購物嗎？
Do you like swimming?	你喜欢游泳吗？
Do you run every day?	你每天都跑步吗？
Do you speak Chinese?	你會說中文嗎？
Do you study English?	您学英语吗？
Do you study English?	你学英语吗？
Do you want anything?	你想要什麼嗎？
Does Tom play tennis?	湯姆打網球嗎？
Does anyone know Tom?	有人認識湯姆嗎？
Don't be so careless!	别这么粗心！
Don't be so childish.	不要那么幼稚。
Don't go to extremes.	别走极端。
Don't leave the room.	别离开房间。
Don't let the dog in.	别让狗进来。
Don't open your book.	不要打开你的书。
Don't try to stop me.	别想阻止我。
Don't worry about it.	不要擔心它。
Don't worry about me.	不要擔心我。
Everyone, say cheese.	所有人，都请说 cheese 。
Everything went well.	一切都很顺利。
Finally, it's Friday.	終於星期五了。
Go back to your seat.	回到你的座位。
Has anything changed?	有任何事情改變了嗎？
Have a nice day, Tom.	汤姆，希望你今天玩得开心。
Have you been eating?	你在吃东西吗？
Have you eaten lunch?	你吃過午飯了嗎？
Have you finished it?	你做完了嗎?
He accepted her gift.	他接受了她的礼物。
He acted as my guide.	他擔任我的嚮導。
He came to my rescue.	他拯救了我。
He committed suicide.	他自杀了。
He doesn't like fish.	他不喜歡吃魚。
He had a hungry look.	他面有飢色
He has a nice income.	他收入可观。
He has poor eyesight.	他的视力不佳。
He has two daughters.	他有两个女儿。
He is a Japanese boy.	他是个日本少年。
He is always with me.	他一直与我同在。
He is angry with you.	他在生你的氣。
He is apt to be late.	他很容易遲到。
He is as tall as her.	他和她一样高。
He is full of energy.	他充满活力。
He is very sensitive.	他很敏感。
He is wearing gloves.	他戴着手套。
He isn't an American.	他不是美国人。
He knows how to swim.	他会游泳。
He likes to watch TV.	他喜歡看電視。
He likes watching TV.	他喜歡看電視。
He may have been ill.	他可能病了。
He needs an umbrella.	他需要一把伞。
He put away his toys.	他收起了他的玩具。
He ran into the room.	他跑进房间内。
He slipped me a note.	他悄悄地递给我一张纸条。
He spoke very loudly.	他说得很大声。
He studied very hard.	他学习非常努力。
He took it literally.	他按照字面上的意思。
He used to live here.	他以前住在这儿。
He was elected mayor.	他被选为市长。
He was sitting there.	他之前坐在这里。
He went to the store.	他去了商店。
He will be back soon.	他很快就会回来的。
He's a bit energetic.	他有点活泼。
He's a tennis player.	他是个网球球手。
He's bound to forget.	他准会忘。
He's eating an apple.	他正吃著一個蘋果。
He's younger than me.	他比我年轻。
Here comes the train.	火車來了。
Hey you! Please wait.	嘿，你！請稍候。
Hi! Do you work here?	嗨！你在这儿工作吗？
His memory amazes me.	他的记忆力使我惊讶。
How about a sandwich?	三明治怎麼樣？
How can you say that?	你怎麼能那麼說？
How deep is the hole?	這個洞多深?
How did you meet Tom?	你是怎麼見到湯姆的？
How high is Mt. Fuji?	富士山有多高？
How much did you bid?	你出价多少？
How was your weekend?	你週末過得怎麼樣？
I accepted the offer.	我接受了报价。
I already apologized.	我已经道歉了。
I am a stranger here.	我是這裡的外地人。
I am afraid of death.	我怕死。
I am afraid of dying.	我怕死。
I am counting on you.	我指望你了。
I am leaving at four.	我四點要離開。
I am not well at all.	我一点都不好。
I am poor at drawing.	我不擅長畫畫。
I ate Tom's sandwich.	我吃了湯姆的三明治。
I believe that story.	我相信那个故事。
I bought an old lamp.	我买了一盏很旧的灯。
I bought her a watch.	我買了一支手錶給她。
I broke my right leg.	我摔斷了右腿。
I can barely see you.	我幾乎看不見你。
I can swim very fast.	我游泳可以游得很快。
I can talk for a bit.	我会说一点儿。
I can't afford a car.	我買不起車子。
I can't believe that.	我不能相信。
I can't do it either.	我也不會做。
I can't say for sure.	我不太確定。
I can't shut it down.	我不能關掉它。
I can't tell you now.	我現在不能告訴你。
I can't wait for you.	我不能等你。
I can't wait forever.	我不能永远地等。
I couldn't leave Tom.	我不能離開湯姆。
I did not order this.	我没有预定这个。
I didn't do anything.	我什么事都没有做。
I didn't do it alone.	我没有独自做。
I dislike big cities.	我不喜歡大城市。
I don't believe that.	我們不相信那個。
I don't get the joke.	我没明白那个笑话。
I don't go to school.	我不去学校。
I don't like English.	我不喜歡英語。
I don't like silence.	我不喜欢科学。
I don't speak German.	我不会说德语。
I don't want to swim.	我不想游泳。
I don't want to wait.	我不想等。
I don't want to work.	他不爱劳动。
I found it by chance.	我偶然找到了它。
I guess you're right.	我猜你是對的。
I had fun last night.	昨晚我玩得开心。
I have a job for you.	我有工作給你。
I have a lot of cats.	我有很多狗。
I have a new red car.	我有一輛新的紅色汽車。
I have a sore throat.	我喉嚨痛。
I have so many ideas.	我有那麼多的主意。
I have three cameras.	我有三台攝影機。
I have what you need.	我有你需要的。
I intend to go there.	我打算去那裡。
I just cut my finger.	我剛剛切到手指了。
I just don't like it.	我只是不喜欢它。
I know her very well.	我非常了解她。
I know what you mean.	我知道你的意思。
I know who likes Tom.	我知道谁喜欢汤姆。
I left the door open.	我讓門開著。
I lent Tom my camera.	我把我的相機借給了湯姆。
I like to eat apples.	我喜欢吃苹果。
I like walking alone.	我喜歡獨自行走。
I like you very much.	我非常喜歡你。
I live in a big city.	我住在一个大城市里。
I met Mary yesterday.	昨天我遇見了瑪麗。
I miss you very much.	我非常想你。
I need to go to work.	我得去工作了。
I need to study math.	我需要学习数学。
I need to take notes.	我需要作筆記。
I no longer love Tom.	我不再愛湯姆了。
I owe Tom some money.	我欠湯姆錢。
I owe a lot of money.	我欠了很多钱。
I paid $200 in taxes.	我付了兩百元含稅。
I paid him the money.	我付了他钱。
I rejected the offer.	我拒绝了报价。
I remember this word.	我记得这个单词。
I said open the door.	我說開門。
I should've declined.	我本应婉拒。
I sometimes watch TV.	我有時看電視。
I sort of understand.	我大概懂了。
I think I understand.	我想我懂了。
I think I understood.	我认为我明白了。
I think Tom is awake.	我想Tom已经醒了。
I think it was wrong.	我认为它错了。
I think that's awful.	我看那糟透了。
I think this is true.	我想这是真的。
I think you're lying.	我觉得你在撒谎。
I think you're ready.	我認為你準備好了。
I walked up the hill.	我走上山了。
I want an MP3 player!	我想要一个MP3播放器！
I want some potatoes.	我要几个土豆。
I want the other one.	我想要另一個。
I want to make a pie.	我想做个派。
I want to study math.	我想学数学。
I wanted to go there.	我想去那裡。
I wanted to stop Tom.	我想阻止湯姆。
I was at the theater.	我在劇場。
I went into the navy.	我加入了海軍。
I will come with you.	我會和你一起去。
I wish I were taller.	我希望我比較高。
I wish you good luck.	我祝您好运。
I'll admit I'm wrong.	我承認我錯了。
I'll ask Tom to wait.	我會請Tom等。
I'll be watching you.	我會看著你。
I'll give you a book.	我會給你一本書。
I'll give you a ride.	我會載你一程。
I'll give you a ring.	我会打电话给你。
I'll prove it to you.	我会给你证明的。
I'll take care of it.	我會關照它的。
I'm an honest person.	我是个老实人。
I'm buying a new car.	我在买一辆新车。
I'm closing the door.	我在關門。
I'm coming home, Tom.	我在回家，湯姆。
I'm friends with him.	我和他是朋友。
I'm glad I was there.	我很高興我在那裡。
I'm here to help you.	我來這裡幫你。
I'm in a hurry today.	我今天趕時間。
I'm in love with her.	我愛上她了。
I'm incredibly tired.	我累死了。
I'm just another man.	我只是个大众脸。
I'm learning English.	我學英文。
I'm not tired at all.	我根本不累。
I'm not turning back.	我不回去。
I'm sorry to hear it.	我听了感到抱歉。
I'm sure they'll win.	我確定他們會贏。
I'm sure they'll win.	我相信他們會贏。
I'm the one you want.	我就是你要找的人。
I'm tired of dancing.	我厭倦了跳舞。
I'm walking with her.	我正跟她一起走。
I'm willing to share.	我乐意分享。
I've got a pacemaker.	我裝了個心臟起搏器。
I've got one for you.	我給你帶了一個。
I've won first prize!	我贏得了第一名！
Is his pulse regular?	他的脈搏正常嗎？
Is there a timetable?	有时间表吗？
It belongs to me now.	它现在归我了。
It looks like a duck.	它看起來像一隻鴨子。
It looks like an egg.	这看上去像个蛋。
It makes me feel sad.	这让我感到沮丧。
It rained for a week.	雨下了一周。
It seems so familiar.	这看起来似曾相识。
It was a long letter.	它是封长信。
It's a good question.	它是一個很好的問題。
It's a piece of cake.	小菜一碟。
It's a waste of time.	这是浪费时间。
It's all Greek to me.	我对此一窍不通。
It's all Tom's fault.	全是湯姆的錯。
It's an easy victory.	這是一個輕鬆取得的勝利。
It's been a long war.	这是场长久的战争。
It's my CD, isn't it?	這是我的CD，不是嗎？
It's not that simple.	它沒有那麼簡單。
It's nothing serious.	這沒什麼要緊的。
It's sort of strange.	有點奇怪。
It's under the table.	它在桌下。
Let me say one thing.	讓我說一件事情。
Let's clean our room.	打扫我们的房间吧。
Let's go to the club.	讓我們去俱樂部吧。
Let's hope she comes.	讓我們祈盼她會來。
Let's make some more.	我們做多一點。
Let's not discuss it.	我们不要讨论它。
Lincoln died in 1865.	林肯於1865年去世。
Mary came on her own.	Mary自己一個人來。
Mary hugged her doll.	Mary擁抱她的娃娃。
Mary plays the piano.	瑪麗彈鋼琴。
May I ask a question?	我能问个问题吗？
May I go out to play?	我可以出去玩嗎？
May I play the piano?	我可以彈鋼琴嗎？
Maybe we should talk.	大概我们需要交谈。
Maybe you'll succeed.	也許你會成功。
My car's in the shop.	我的車在店裡修理中。
My eyes are watering.	我在流眼淚。
My father became old.	我爸爸變老了。
My father grows rice.	我爸种水稻。
My gums are bleeding.	我的牙齦流血。
My head is exploding.	我的頭要炸了。
My watch has stopped.	我的錶停了。
No news is good news.	没消息就是好消息。
No one else was hurt.	没有别的人受伤。
No one escaped alive.	沒有人生還。
One of them is a spy.	他們其中一人是間諜。
Orange juice, please.	柳橙汁，麻煩你。
Our train is delayed.	我們的車誤點了。
Please eat some cake.	请吃点蛋糕。
Please lock the door.	請把門鎖上。
Please open the door.	請把門打開。
Please open the door.	請開門。
Please shut the door.	請關上門。
Please think it over.	請考慮一下。
Press the bell twice.	按两下铃。
Put your weapon down.	把你的武器放下。
See you at the party.	在派對上見。
See you at the party.	在派对上见
She gave him a watch.	她给了他一块表。
She gave him the car.	她给了他车。
She gets up at seven.	她早上7点起床。
She has a pure heart.	她有一颗纯洁的心。
She has a round face.	她有张圆脸。
She has ten children.	她有十个孩子。
She is a good dancer.	她是一個很好的舞者。
She is a pretty girl.	她是一個漂亮的女孩。
She is a quiet woman.	她是一個安靜的女人。
She is wearing a hat.	她戴著一頂帽子。
She raised her voice.	她提高了她的嗓音。
She really hates him.	她非常恨他。
She sat on the bench.	她坐在長椅上。
She sent me a letter.	她寄给我一封信。
She slapped his face.	她摑了他的臉。
She wants to hug him.	她想擁抱他。
She was hit by a car.	她被車撞了。
She wore a red dress.	她穿了一条红色的裙子。
She's a quiet person.	她是個安靜的人。
She's as busy as Tom.	她和湯姆一樣忙。
She's my best friend.	她是我最好的朋友。
She's older than Tom.	她年紀比湯姆大。
She's very beautiful.	她非常漂亮。
Should we be worried?	我們應該要擔心嗎？
Some bugs were fixed.	一些程式錯誤被改正了。
Something did happen.	有什么事发生了。
Stay out of the rain.	躲雨。
Stay out of the rain.	別被雨淋了。
Tell me when to stop.	告訴我甚麼時候停下。
That bicycle is mine.	那自行车是我的。
That did occur to me.	那就發生在我身上。
That meat is chicken.	那個肉是雞肉。
That was a month ago.	那是一個月前了。
That was pretty neat.	那真整潔。
That's a lot of cash.	那是很多錢。
That's my dictionary.	那是我的字典。
That's quite obvious.	那很明顯。
The baby is sleeping.	宝宝正在睡觉。
The box wasn't empty.	箱子不是空的。
The couple had a son.	这对夫妇生了个儿子。
The grass looks nice.	草地看来不错。
The house is burning.	這房子正在燃燒著。
The house is haunted.	這房子鬧鬼。
The job is half done.	這項工作已經完成了一半。
The lights aren't on.	灯没有亮着。
The old man sat down.	老人坐了下来。
The phone is ringing.	電話正在響。
The rumor isn't true.	傳聞不是正確的。
The taxi has arrived.	出租车到了。
The well has run dry.	這口井乾涸了。
The wind calmed down.	风停了。
There isn't any soap.	沒有任何肥皂。
There were two cakes.	那有两块蛋糕。
There's a car coming.	有車來了。
There's no more salt.	沒有再多的鹽了。
These shoes are hers.	這些鞋是她的。
They are my brothers.	他们是我的兄弟。
They didn't like you.	他们不喜欢你。
They failed the exam.	他們考試失敗了。
They kept on walking.	他们继续走。
They love each other.	他們彼此相愛。
They made me captain.	他們讓我當了隊長。
They went to Tottori.	他們去了鳥取。
They were both drunk.	他們兩個都喝醉了。
They were frightened.	他們被嚇到了。
They were persecuted.	他们受到迫害。
They're afraid of us.	他們害怕我們。
They're already here.	他們已經在這裡了。
They're both artists.	他们都是艺术家。
This bicycle is mine.	這輛自行車是我的。
This is a good movie.	這是一部好電影。
This is a small town.	这是个小镇。
This is just for you.	這是只給你的。
This job doesn't pay.	这个工作没有酬劳。
This job doesn't pay.	这份工作不付钱的。
This must be my book.	这肯定是我的书。
This novel is boring.	這本小說很無聊。
This tea tastes good.	這茶味道不錯。
Those apples are big.	那些蘋果很大。
Today is my birthday.	今天是我的生日。
Tom broke the window.	湯姆打破了窗戶。
Tom burst into tears.	汤姆泪流满面。
Tom doesn't eat pork.	湯姆不吃猪肉。
Tom doesn't think so.	汤姆可不这么认为。
Tom drank some juice.	Tom喝了些果汁。
Tom enjoys gardening.	汤姆享受园艺。
Tom has been wounded.	Tom负伤了。
Tom has two children.	Tom有兩個孩子。
Tom is a good person.	湯姆是個好人。
Tom is a good person.	Tom是一個好人。
Tom is a good worker.	湯姆是個好工人。
Tom is in the shower.	Tom在洗澡。
Tom is indispensable.	汤姆是必不可少的。
Tom is really gifted.	湯姆真有才華。
Tom is the one I saw.	我看见的是汤姆。
Tom is there already.	湯姆己經在那裡了。
Tom is very talented.	汤姆多才多艺。
Tom let Mary go home.	湯姆讓瑪麗回家。
Tom looks a bit sick.	湯姆看來有點不適。
Tom loves doing this.	湯姆喜歡做這事。
Tom needed treatment.	汤姆需要接受治疗。
Tom said Mary is shy.	湯姆說瑪麗害羞。
Tom said he loved me.	汤姆说他爱我。
Tom said he was sick.	湯姆說他病了。
Tom saw the exhibits.	汤姆看了展览会。
Tom slept until noon.	汤姆睡到中午。
Tom still can't read.	汤姆还是不能读书。
Tom sure talks a lot.	汤姆一定很能讲。
Tom taught me French.	汤姆教了我法语。
Tom tried to stab me.	汤姆企图刺我。
Tom turned up the TV.	汤姆把电视调大声。
Tom wanted to see me.	汤姆想见我。
Tom was all worn out.	湯姆完全筋疲力盡了。
Tom was an architect.	汤姆是建筑师。
Tom was conservative.	汤姆过去很保守。
Tom wouldn't like it.	湯姆不會喜歡它。
Tom, we have to talk.	汤姆，我们必须谈谈。
Turtles are reptiles.	海龟是爬行动物。
We are having dinner.	我們在吃晚餐。
We can seat you soon.	我们很快就可以安排您入座。
We can't sit idly by.	我們不能光坐著。
We got to be friends.	我们交了朋友。
We have a great team.	我们有个好极了的团队。
We have two children.	我們有兩個孩子。
We haven't lost much.	我們沒有失去太多。
We knew it all along.	我们一开始就知道。
We met at the church.	我们在教堂里遇到。
We must do something.	我們必須做點甚麼。
We must go to school.	我们必须去学校了。
We need an ambulance.	我们需要一辆救护车。
We ran after the cat.	我們追著貓。
We ran down the hill.	我們跑下山。
We require your help.	我們需要你的幫助。
We sell orange juice.	我們賣柳橙汁。
We took a wrong turn.	我們拐錯彎了。
We tried to stop you.	我們試著阻止你。
We want a new carpet.	我们想要一条新毯子。
We went to the races.	我们去看了比赛。
We're going by train.	我们要乘火车去。
We're going downtown.	我们正在去市里。
We're ready to leave.	我們準備離開。
We're very different.	我们很不一样。
What a bizarre story!	多么荒唐的故事！
What are you cooking?	你在煮什麼?
What are you reading?	你在看什麼？
What are you writing?	你在寫什麼？
What do you want now?	您现在想要什么？
What do you want now?	你现在想要什么？
What does it contain?	它包含了什么？
What happened to him?	他發生了什麼事？
What we need is help.	我们需要的是帮助。
What'll you give Tom?	你会给汤姆什么？
What's not necessary?	什麼是不必要的?
What's the daily fee?	每天费用多少？
What's your job here?	你在这里的工作是什么？
What's your nickname?	你的昵称是甚麼？
When does that start?	什么时候开始？
When was it finished?	是什么时候完成的？
When will you go out?	你什麼時候要出去？
Where is my umbrella?	我的傘在哪？
Where is the mailbox?	郵箱在哪裡？
Where is the problem?	哪裡有問題?
Where's the bathroom?	廁所在哪裡？
Which book is better?	哪一本書比較好？
Who do you live with?	你和誰住在一起？
Who else is in there?	谁还在这里？
Who gave them to you?	谁给了你这些东西？
Who invented glasses?	玻璃是谁发明的？
Who invited you guys?	誰邀請了你們？
Who is the secretary?	谁是秘书？
Who wrote this story?	谁写了这个故事？
Why do you work here?	你為什麼在這兒工作？
Why don't we go home?	我们何不回家呢？
Why don't you hug me?	你為甚麼不抱我？
Will he be here soon?	他很快就會到這裡嗎?
Would you like to go?	你想去嗎？
You always work hard.	你一直努力工作。
You are irresistible.	你是不可抗拒的。
You are not a coward.	您不是个懦夫。
You are not a coward.	你不是个懦夫。
You are not a doctor.	您不是医生。
You are now an adult.	你现在是大人了。
You can bank on that.	你可以相信那個。
You can bank on that.	你可以寄希望于此。
You can come with me.	你可以跟我來。
You can count on her.	你可以相信她。
You can hold my hand.	你能握我的手。
You can use this car.	你可以使用這輛車。
You can't go outside.	你不能到外面去。
You don't deserve it.	你不配。
You don't need a gun.	你不需要枪。
You don't seem happy.	你看起来不高兴。
You don't understand.	你不了解。
You look happy today.	你今天看起來很高興。
You may use this car.	你可以使用這輛車。
You owe me something.	你欠我點東西。
You should apologize.	你應該道歉。
You should know this.	你該知道這個。
You shouldn't go out.	你不應該出去。
You'd better go home.	你最好回家。
You're a good driver.	你开车很好。
You're a good leader.	你是個好的領導人。
You're a real friend.	你是個真正的朋友。
You're bound to fail.	你注定失败。
You're just a coward.	你就是胆小鬼。
You're such an idiot!	你真是個傻瓜！
You've been deceived.	你被騙了。
You've made progress.	你进步了。
Your answer is wrong.	你的回答是错的。
Your dog is very big.	您的狗非常胖。
Your dog is very big.	你的狗非常胖。
Your dog is very fat.	你的狗非常胖。
Your opinion matters.	你的觀點是重要的。
A dolphin is a mammal.	海豚是哺乳動物。
Above all, be patient.	尤其是要有耐心。
All lawyers are liars.	律师都是骗子。
All this is new to me.	这对我来说全是新的。
Any child can do that.	任何小孩都能做到。
Are these your things?	這些是你的東西嗎？
Are they all the same?	他们都是一样的吗？
Are you afraid of Tom?	你會怕Tom嗎？
Are you dating anyone?	你跟人约会吗？
Are you free tomorrow?	你明天有空吗？
Are you going outside?	你去外面吗？
Are you going to sing?	你要唱歌嗎？
Are you satisfied now?	你現在滿意了嗎？
Are you still at home?	你還在家裡嗎？
Are you still at home?	你們還在家裡嗎？
Are you still winning?	你還在贏嗎？
Are you talking to me?	你在跟我说话吗？
Ask for what you want!	要你想要的！
Bears can climb trees.	熊会爬树。
Better luck next time.	祝你下一次好运。
Beware of pickpockets.	小心扒手。
Both of you are wrong.	你們倆都錯了。
Call me at the office.	打電話到我辦公室來。
Can I borrow your car?	我能借你的车吗？
Can I eat this orange?	我能吃这只橙子吗？
Can I use your pencil?	我可以用你的鉛筆嗎？
Can his story be true?	他的故事可能是真的吗?
Can we go now, please?	请问我们现在能走吗？
Check your dictionary.	查你的字典。
Come here, all of you.	你们全都过来。
Control is everything.	控制就是一切。
Did he go to see Mary?	他去看瑪麗了嗎？
Did he propose to you?	他向你求婚了嗎？
Did you cut the paper?	你裁切紙張了嗎？
Did you get my letter?	你收到了我发的邮件了吗？
Did you get your wish?	你如願以償了嗎?
Did you hear the news?	你听到新闻了吗？
Did you lock the door?	你有關門嗎？
Did you not know that?	你了解它吗
Do I need to transfer?	我需要换乘吗?
Do they learn English?	他們學習英語嗎？
Do you believe in God?	你相信上帝吗？
Do you know this song?	你知道這首歌嗎？
Do you know who he is?	你知道他是誰嗎？
Do you like this book?	你喜欢这本书吗？
Do you meet him often?	你常常跟他見面嗎？
Do you need this book?	你需要这本书吗？
Do you really want it?	你真的想要嗎？
Do you speak Japanese?	你说日语吗?
Do you still love Tom?	你依然爱汤姆吗？
Do you still need tea?	你还需要茶吗？
Does Tom drink coffee?	汤姆喝咖啡吗？
Does anybody know him?	有人认识他吗？
Does he speak English?	他说英语吗？
Does she have a piano?	她有鋼琴嗎？
Does she like oranges?	她喜歡柳橙嗎？
Don't ask me anything.	什麼都別問我。
Don't be disappointed.	不要失望。
Don't expect miracles.	別期盼奇跡。
Don't forget about me.	別忘了我。
Don't leave the TV on.	不要让电视机开着。
Don't let him hit you.	别让他打到你。
Don't speak to anyone.	你們別和任何人說。
Don't stare at others.	别盯着别人看。
Don't step in the mud.	别走进泥地。
Don't touch my camera.	不要碰我的相機。
Don't try my patience.	別挑戰我的耐心。
Don't waste your time.	别浪费时间。
Don't you play tennis?	你不打網球嗎?
Every dog has his day.	凡人皆有得意时。
Everything went black.	一切都變成了黑色。
Everything will be OK.	一切都会好的。
Fur coats are on sale.	毛皮大衣在打折。
Get down on the floor!	趴在地上!
Give it to me, please.	請把它給我。
Give me your location.	给我你的位置。
Go back to the office.	回辦公室去。
Good luck on the test!	祝考试好运!
Goodbye and good luck.	再见，祝好运。
Guess what he told me.	猜猜看他告訴了我什麼。
Has he met them today?	他今天見他們了嗎？
Have a good Christmas.	祝您有一個愉快的聖誕節。
Have we made progress?	我們取得進步了嗎？
Have you eaten dinner?	你吃晚飯了嗎？
Haven't we met before?	我们以前没见过吗？
He admitted his guilt.	他承認他有罪。
He broke into a house.	他闖入一間房子。
He came several times.	他来了很多次了。
He came to pick me up.	他來接我走。
He can swim very fast.	他能游得很快。
He cleared his throat.	他清了清喉嚨。
He climbed the stairs.	他爬上了樓梯。
He comes from England.	他来自英格兰。
He drives his own car.	他開他自己的車。
He gave it a new name.	他给了它一个新名字。
He gave me 10,000 yen.	他给了我1万日元。
He got 90% in English.	他英文得到了九十分。
He grew up in Germany.	他在德國長大。
He had the right idea.	他的想法是对的。
He had to stay in bed.	他得卧床休息.
He has a large family.	他有一個大家庭。
He has a lot of money.	他有很多钱。
He has done it before.	他以前做過。
He has gone to London.	他去了伦敦。
He has just left home.	他刚离开家。
He has three brothers.	他有三个哥哥。
He has three brothers.	他有三名兄长。
He hopes to go abroad.	他希望到國外去。
He is always laughing.	他总是在笑。
He is good at driving.	他擅長駕駛。
He is like his father.	他像他父亲。
He is mad about music.	他痴迷于音乐。
He is no longer a boy.	他不再是个男孩。
He is not an American.	他不是美国人。
He is sure to succeed.	他一定会成功。
He is washing his car.	他正在洗他的车。
He knows who they are.	他知道他们是谁。
He lived a moral life.	他以君子之道生活。
He married an actress.	他和一个女演员结婚了。
He might not be happy.	他可能會不高興。
He must be over sixty.	他应该超过六十岁了。
He rested for a while.	他休息了一会儿。
He sang while working.	他一边唱歌一边工作。
He says he won't come.	他說他不會來。
He speaks poor French.	他讲不好法语。
He was born in Africa.	他出生在非洲。
He works in a factory.	他在一家工廠工作。
He's afraid of snakes.	他害怕蛇。
He's afraid of snakes.	他怕蛇。
He's my older brother.	他是我的哥哥。
He's shorter than Tom.	他比湯姆矮。
His concert was great.	他的演唱會很棒。
His plan is dangerous!	他的計劃是危險的！
His story sounds true.	他的故事聽起來是真的。
How dare you say that!	你怎么敢那么说。
How did you get there?	你怎麼到那的？
How do you like Japan?	你覺得日本怎麼樣？
How do you make a box?	你怎么做箱子？
How high can you jump?	您能跳多高？
How high can you jump?	你能跳多高？
How long did you stay?	你待了多久?
How long does it take?	要花多久時間？
How many does he want?	他要多少?
How much do I owe you?	我欠您多少？
How much does it cost?	多少錢?
How much time is left?	还剩多少时间？
How much will it cost?	这要多少钱？
How soon can we leave?	我们过多久才能离开？
How was the interview?	面試怎麼樣？
I admire your courage.	我佩服你的勇氣。
I always lock my room.	我總是鎖上我的房間。
I am 30 years old now.	我现在30岁了。
I am an honest person.	我是个老实人。
I am folding my dress.	我在叠我的连衣裙。
I am here on business.	我在這裡出差。
I am near the station.	我在車站附近。
I am playing baseball.	我在打棒球。
I am poor at swimming.	我不擅長游泳。
I am shorter than you.	我比你矮。
I am tired of my work.	我厌倦了我的工作。
I am tired of reading.	我厭倦了閱讀。
I am tired of reading.	我讀書讀膩了。
I am very, very sorry.	我非常，非常抱歉。
I am writing a letter.	我正在寫一封信。
I bet he will get mad.	我打賭他會生氣。
I bought it last week.	我上週買了它。
I can do it by myself.	我可以自己做。
I can do it in a week.	我可以在一週內做。
I can open the window.	我可以打開這扇窗。
I can't find my shoes.	我找不到我的鞋子。
I caught the last bus.	我趕上了最後一班公車。
I chose the wrong one.	我選了錯的那個。
I dialed Tom's number.	我拨打了Tom的号码。
I didn't get his joke.	我不懂他的玩笑話。
I didn't get the joke.	我没明白那个笑话。
I didn't see anything.	我什麼都沒看見。
I dislike being alone.	我不喜歡獨處。
I don't like anything.	我什么都不喜欢。
I don't like big dogs.	我不喜歡大狗。
I don't like drinking.	我不喜欢喝酒。
I don't like her face.	我不喜歡她的臉。
I don't like homework.	我不喜欢作业。
I don't like studying.	我不喜欢学习。
I don't like that guy.	我不喜欢那家伙。
I don't like this one.	我不喜欢这个。
